#Parameters = {Vbot=-1000; Vside=-500; Vtop=1000; g=1; h=30; l=150; t=1; w=100}
#"Z / mm"	"Potential (Es) (Z)_1 [Real Part]"
#-------------------------------------------
-48.858682652737	-361.37402343750
-48.611921629238	-361.37722778320
-48.365160605739	-361.38018798828
-48.118399582241	-361.38299560547
-47.871638558742	-361.38555908203
-47.624877535243	-361.38796997070
-47.378116511745	-361.39022827148
-47.131355488246	-361.39233398438
-46.884594464747	-361.39428710938
-46.637833441249	-361.39608764648
-46.391072417750	-361.39779663086
-46.144311394251	-361.39932250977
-45.897550370753	-361.40078735352
-45.650789347254	-361.40209960938
-45.404028323755	-361.40335083008
-45.157267300257	-361.40447998047
-44.910506276758	-361.40551757812
-44.663745253259	-361.40646362305
-44.416984229761	-361.40734863281
-44.170223206262	-361.40814208984
-43.923462182763	-361.40890502930
-43.676701159264	-361.40954589844
-43.429940135766	-361.41015625000
-43.183179112267	-361.41070556641
-42.936418088768	-361.41122436523
-42.689657065270	-361.41162109375
-42.442896041771	-361.41204833984
-42.196135018272	-361.41238403320
-41.949373994774	-361.41271972656
-41.702612971275	-361.41296386719
-41.455851947776	-361.41320800781
-41.209090924278	-361.41342163086
-40.962329900779	-361.41360473633
-40.715568877280	-361.41372680664
-40.468807853782	-361.41381835938
-40.222046830283	-361.41390991211
-39.975285806784	-361.41397094727
-39.728524783286	-361.41400146484
-39.481763759787	-361.41403198242
-39.235002736288	-361.41403198242
-38.988241712790	-361.41403198242
-38.741480689291	-361.41397094727
-38.494719665792	-361.41394042969
-38.247958642294	-361.41387939453
-38.001197618795	-361.41381835938
-37.754436595296	-361.41372680664
-37.507675571798	-361.41360473633
-37.260914548299	-361.41351318359
-37.014153524800	-361.41339111328
-36.767392501302	-361.41326904297
-36.520631477803	-361.41311645508
-36.273870454304	-361.41299438477
-36.027109430806	-361.41284179688
-35.780348407307	-361.41271972656
-35.533587383808	-361.41256713867
-35.286826360310	-361.41238403320
-35.040065336811	-361.41223144531
-34.793304313312	-361.41204833984
-34.546543289814	-361.41189575195
-34.299782266315	-361.41174316406
-34.053021242816	-361.41156005859
-33.806260219318	-361.41137695312
-33.559499195819	-361.41119384766
-33.312738172320	-361.41101074219
-33.065977148822	-361.41085815430
-32.819216125323	-361.41067504883
-32.572455101824	-361.41049194336
-32.325694078326	-361.41030883789
-32.078933054827	-361.41012573242
-31.832172031328	-361.40994262695
-31.585411007830	-361.40979003906
-31.338649984331	-361.40960693359
-31.091888960832	-361.40942382812
-30.845127937334	-361.40927124023
-30.598366913835	-361.40908813477
-30.351605890336	-361.40890502930
-30.104844866838	-361.40875244141
-29.858083843339	-361.40856933594
-29.611322819840	-361.40838623047
-29.364561796342	-361.40823364258
-29.117800772843	-361.40808105469
-28.871039749344	-361.40789794922
-28.624278725846	-361.40774536133
-28.377517702347	-361.40762329102
-28.130756678848	-361.40747070312
-27.883995655350	-361.40731811523
-27.637234631851	-361.40716552734
-27.390473608352	-361.40701293945
-27.143712584854	-361.40686035156
-26.896951561355	-361.40670776367
-26.650190537856	-361.40658569336
-26.403429514358	-361.40643310547
-26.156668490859	-361.40631103516
-25.909907467360	-361.40615844727
-25.663146443862	-361.40603637695
-25.416385420363	-361.40591430664
-25.169624396864	-361.40579223633
-24.922863373366	-361.40567016602
-24.676102349867	-361.40551757812
-24.429341326368	-361.40539550781
-24.182580302870	-361.40530395508
-23.935819279371	-361.40518188477
-23.689058255872	-361.40505981445
-23.442297232374	-361.40493774414
-23.195536208875	-361.40484619141
-22.948775185376	-361.40472412109
-22.702014161878	-361.40463256836
-22.455253138379	-361.40451049805
-22.208492114880	-361.40441894531
-21.961731091382	-361.40432739258
-21.714970067883	-361.40423583984
-21.468209044384	-361.40414428711
-21.221448020886	-361.40405273438
-20.974686997387	-361.40396118164
-20.727925973888	-361.40386962891
-20.481164950390	-361.40377807617
-20.234403926891	-361.40368652344
-19.987642903392	-361.40362548828
-19.740881879894	-361.40353393555
-19.494120856395	-361.40347290039
-19.247359832896	-361.40338134766
-19.000598809398	-361.40332031250
-18.753837785899	-361.40325927734
-18.507076762400	-361.40316772461
-18.260315738902	-361.40310668945
-18.013554715403	-361.40301513672
-17.766793691904	-361.40295410156
-17.520032668406	-361.40289306641
-17.273271644907	-361.40283203125
-17.026510621408	-361.40277099609
-16.779749597910	-361.40270996094
-16.532988574411	-361.40264892578
-16.286227550912	-361.40258789062
-16.039466527414	-361.40252685547
-15.792705503915	-361.40246582031
-15.545944480416	-361.40240478516
-15.299183456918	-361.40237426758
-15.052422433419	-361.40231323242
-14.805661409920	-361.40228271484
-14.558900386421	-361.40222167969
-14.312139362923	-361.40219116211
-14.065378339424	-361.40213012695
-13.818617315925	-361.40209960938
-13.571856292427	-361.40203857422
-13.325095268928	-361.40200805664
-13.078334245429	-361.40194702148
-12.831573221931	-361.40191650391
-12.584812198432	-361.40188598633
-12.338051174933	-361.40185546875
-12.091290151435	-361.40182495117
-11.844529127936	-361.40176391602
-11.597768104437	-361.40173339844
-11.351007080939	-361.40170288086
-11.104246057440	-361.40167236328
-10.857485033941	-361.40164184570
-10.610724010443	-361.40161132812
-10.363962986944	-361.40158081055
-10.117201963445	-361.40155029297
-9.8704409399468	-361.40151977539
-9.6236799164481	-361.40148925781
-9.3769188929494	-361.40148925781
-9.1301578694508	-361.40145874023
-8.8833968459521	-361.40142822266
-8.6366358224534	-361.40139770508
-8.3898747989548	-361.40139770508
-8.1431137754561	-361.40136718750
-7.8963527519574	-361.40133666992
-7.6495917284587	-361.40130615234
-7.4028307049601	-361.40130615234
-7.1560696814614	-361.40127563477
-6.9093086579627	-361.40127563477
-6.6625476344641	-361.40124511719
-6.4157866109654	-361.40124511719
-6.1690255874667	-361.40121459961
-5.9222645639681	-361.40121459961
-5.6755035404694	-361.40118408203
-5.4287425169707	-361.40118408203
-5.1819814934721	-361.40115356445
-4.9352204699734	-361.40115356445
-4.6884594464747	-361.40112304688
-4.4416984229760	-361.40112304688
-4.1949373994774	-361.40109252930
-3.9481763759787	-361.40109252930
-3.7014153524800	-361.40109252930
-3.4546543289814	-361.40109252930
-3.2078933054827	-361.40106201172
-2.9611322819840	-361.40106201172
-2.7143712584854	-361.40106201172
-2.4676102349867	-361.40106201172
-2.2208492114880	-361.40103149414
-1.9740881879894	-361.40103149414
-1.7273271644907	-361.40103149414
-1.4805661409920	-361.40103149414
-1.2338051174933	-361.40103149414
-0.98704409399467	-361.40103149414
-0.74028307049601	-361.40103149414
-0.49352204699734	-361.40103149414
-0.24676102349866	-361.40103149414
0.0000000000000	-361.40103149414
0.24676102349868	-361.40103149414
0.49352204699734	-361.40103149414
0.74028307049602	-361.40103149414
0.98704409399468	-361.40103149414
1.2338051174933	-361.40103149414
1.4805661409920	-361.40103149414
1.7273271644907	-361.40103149414
1.9740881879894	-361.40103149414
2.2208492114880	-361.40103149414
2.4676102349867	-361.40106201172
2.7143712584854	-361.40106201172
2.9611322819840	-361.40106201172
3.2078933054827	-361.40106201172
3.4546543289814	-361.40109252930
3.7014153524800	-361.40109252930
3.9481763759787	-361.40109252930
4.1949373994774	-361.40109252930
4.4416984229761	-361.40112304688
4.6884594464747	-361.40112304688
4.9352204699734	-361.40115356445
5.1819814934721	-361.40115356445
5.4287425169707	-361.40118408203
5.6755035404694	-361.40118408203
5.9222645639681	-361.40121459961
6.1690255874667	-361.40121459961
6.4157866109654	-361.40124511719
6.6625476344641	-361.40124511719
6.9093086579628	-361.40127563477
7.1560696814614	-361.40127563477
7.4028307049601	-361.40130615234
7.6495917284588	-361.40130615234
7.8963527519574	-361.40133666992
8.1431137754561	-361.40136718750
8.3898747989548	-361.40139770508
8.6366358224534	-361.40139770508
8.8833968459521	-361.40142822266
9.1301578694508	-361.40145874023
9.3769188929494	-361.40148925781
9.6236799164481	-361.40148925781
9.8704409399468	-361.40151977539
10.117201963445	-361.40155029297
10.363962986944	-361.40158081055
10.610724010443	-361.40161132812
10.857485033941	-361.40164184570
11.104246057440	-361.40167236328
11.351007080939	-361.40170288086
11.597768104437	-361.40173339844
11.844529127936	-361.40176391602
12.091290151435	-361.40182495117
12.338051174933	-361.40185546875
12.584812198432	-361.40188598633
12.831573221931	-361.40191650391
13.078334245429	-361.40194702148
13.325095268928	-361.40200805664
13.571856292427	-361.40203857422
13.818617315925	-361.40209960938
14.065378339424	-361.40213012695
14.312139362923	-361.40219116211
14.558900386421	-361.40222167969
14.805661409920	-361.40228271484
15.052422433419	-361.40231323242
15.299183456918	-361.40237426758
15.545944480416	-361.40240478516
15.792705503915	-361.40246582031
16.039466527414	-361.40252685547
16.286227550912	-361.40258789062
16.532988574411	-361.40264892578
16.779749597910	-361.40270996094
17.026510621408	-361.40277099609
17.273271644907	-361.40283203125
17.520032668406	-361.40289306641
17.766793691904	-361.40295410156
18.013554715403	-361.40301513672
18.260315738902	-361.40310668945
18.507076762400	-361.40316772461
18.753837785899	-361.40325927734
19.000598809398	-361.40332031250
19.247359832896	-361.40338134766
19.494120856395	-361.40347290039
19.740881879894	-361.40353393555
19.987642903392	-361.40362548828
20.234403926891	-361.40368652344
20.481164950390	-361.40377807617
20.727925973888	-361.40386962891
20.974686997387	-361.40396118164
21.221448020886	-361.40405273438
21.468209044384	-361.40414428711
21.714970067883	-361.40423583984
21.961731091382	-361.40432739258
22.208492114880	-361.40441894531
22.455253138379	-361.40451049805
22.702014161878	-361.40463256836
22.948775185376	-361.40472412109
23.195536208875	-361.40484619141
23.442297232374	-361.40493774414
23.689058255872	-361.40505981445
23.935819279371	-361.40518188477
24.182580302870	-361.40530395508
24.429341326368	-361.40539550781
24.676102349867	-361.40551757812
24.922863373366	-361.40567016602
25.169624396864	-361.40579223633
25.416385420363	-361.40591430664
25.663146443862	-361.40603637695
25.909907467360	-361.40615844727
26.156668490859	-361.40631103516
26.403429514358	-361.40643310547
26.650190537856	-361.40658569336
26.896951561355	-361.40670776367
27.143712584854	-361.40686035156
27.390473608352	-361.40701293945
27.637234631851	-361.40716552734
27.883995655350	-361.40731811523
28.130756678848	-361.40747070312
28.377517702347	-361.40762329102
28.624278725846	-361.40774536133
28.871039749344	-361.40789794922
29.117800772843	-361.40808105469
29.364561796342	-361.40823364258
29.611322819840	-361.40838623047
29.858083843339	-361.40856933594
30.104844866838	-361.40875244141
30.351605890336	-361.40890502930
30.598366913835	-361.40908813477
30.845127937334	-361.40927124023
31.091888960832	-361.40942382812
31.338649984331	-361.40960693359
31.585411007830	-361.40979003906
31.832172031328	-361.40994262695
32.078933054827	-361.41012573242
32.325694078326	-361.41030883789
32.572455101824	-361.41049194336
32.819216125323	-361.41067504883
33.065977148822	-361.41085815430
33.312738172320	-361.41101074219
33.559499195819	-361.41119384766
33.806260219318	-361.41137695312
34.053021242816	-361.41156005859
34.299782266315	-361.41174316406
34.546543289814	-361.41189575195
34.793304313312	-361.41204833984
35.040065336811	-361.41223144531
35.286826360310	-361.41238403320
35.533587383808	-361.41256713867
35.780348407307	-361.41271972656
36.027109430806	-361.41284179688
36.273870454304	-361.41299438477
36.520631477803	-361.41311645508
36.767392501302	-361.41326904297
37.014153524800	-361.41339111328
37.260914548299	-361.41351318359
37.507675571798	-361.41360473633
37.754436595296	-361.41372680664
38.001197618795	-361.41381835938
38.247958642294	-361.41387939453
38.494719665792	-361.41394042969
38.741480689291	-361.41397094727
38.988241712790	-361.41403198242
39.235002736288	-361.41403198242
39.481763759787	-361.41403198242
39.728524783286	-361.41400146484
39.975285806784	-361.41397094727
40.222046830283	-361.41390991211
40.468807853782	-361.41381835938
40.715568877280	-361.41372680664
40.962329900779	-361.41360473633
41.209090924278	-361.41342163086
41.455851947776	-361.41320800781
41.702612971275	-361.41296386719
41.949373994774	-361.41271972656
42.196135018272	-361.41238403320
42.442896041771	-361.41204833984
42.689657065270	-361.41162109375
42.936418088769	-361.41122436523
43.183179112267	-361.41070556641
43.429940135766	-361.41015625000
43.676701159264	-361.40954589844
43.923462182763	-361.40890502930
44.170223206262	-361.40814208984
44.416984229761	-361.40734863281
44.663745253259	-361.40646362305
44.910506276758	-361.40551757812
45.157267300257	-361.40447998047
45.404028323755	-361.40335083008
45.650789347254	-361.40209960938
45.897550370753	-361.40078735352
46.144311394251	-361.39932250977
46.391072417750	-361.39779663086
46.637833441249	-361.39608764648
46.884594464747	-361.39428710938
47.131355488246	-361.39233398438
47.378116511745	-361.39022827148
47.624877535243	-361.38796997070
47.871638558742	-361.38555908203
48.118399582241	-361.38299560547
48.365160605739	-361.38018798828
48.611921629238	-361.37722778320
48.858682652737	-361.37402343750
49.105443676235	-361.37060546875
49.352204699734	-361.36691284180
49.598965723233	-361.36300659180
49.845726746731	-361.35882568359
50.092487770230	-361.35437011719
50.339248793729	-361.34954833984
50.586009817227	-361.34448242188
50.832770840726	-361.33898925781
51.079531864225	-361.33325195312
51.326292887723	-361.32696533203
51.573053911222	-361.32046508789
51.819814934721	-361.31332397461
52.066575958219	-361.30593872070
52.313336981718	-361.29782104492
52.560098005217	-361.28945922852
52.806859028715	-361.28024291992
53.053620052214	-361.27075195312
