#Parameters = {Vbot=-1000; Vside=-500; Vtop=1000; g=1; h=30; l=150; t=1; w=100}
#"Z / mm"	"Potential (Es) (Z) [Real Part]"
#-----------------------------------------
58.482362569185	-8.9770374298096
58.729123592683	-9.0871915817261
58.975884616182	-9.1978063583374
59.222645639681	-9.3141126632690
59.469406663179	-9.4310703277588
59.716167686678	-9.5538387298584
59.962928710177	-9.6774682998657
60.209689733675	-9.8070278167725
60.456450757174	-9.9376773834229
60.703211780673	-10.074365615845
60.949972804171	-10.212393760681
61.196733827670	-10.356558799744
61.443494851169	-10.502332687378
61.690255874667	-10.654331207275
61.937016898166	-10.808235168457
62.183777921665	-10.968441963196
62.430538945163	-11.130867958069
62.677299968662	-11.299659729004
62.924060992161	-11.471010208130
63.170822015659	-11.648772239685
63.417583039158	-11.829455375671
63.664344062657	-12.016580581665
63.911105086155	-12.207015037537
64.157866109654	-12.403899192810
64.404627133153	-12.604497909546
64.651388156651	-12.811545372009
64.898149180150	-13.022738456726
65.144910203649	-13.240346908569
65.391671227147	-13.462554931641
65.638432250646	-13.691117286682
65.885193274145	-13.924751281738
66.131954297643	-14.164659500122
66.378715321142	-14.410135269165
66.625476344641	-14.661764144897
66.872237368139	-14.919482231140
67.118998391638	-15.183200836182
67.365759415137	-15.453527450562
67.612520438635	-15.729685783386
67.859281462134	-16.012983322144
68.106042485633	-16.301906585693
68.352803509131	-16.598495483398
68.599564532630	-16.900478363037
68.846325556129	-17.210655212402
69.093086579627	-17.525962829590
69.339847603126	-17.849975585938
69.586608626625	-18.178823471069
69.833369650123	-18.516860961914
70.080130673622	-18.859436035156
70.326891697121	-19.211666107178
70.573652720619	-19.568086624146
70.820413744118	-19.934595108032
71.067174767617	-20.304922103882
71.313935791115	-20.685726165771
71.560696814614	-21.069961547852
71.807457838113	-21.465021133423
72.054218861612	-21.863111495972
72.300979885110	-22.272296905518
72.547740908609	-22.684091567993
72.794501932107	-23.107202529907
73.041262955606	-23.532499313354
73.288023979105	-23.969247817993
73.534785002604	-24.407772064209
73.781546026102	-24.857786178589
74.028307049601	-25.309202194214
74.275068073100	-25.772010803223
74.521829096598	-26.235866546631
74.768590120097	-26.710947036743
75.015351143596	-27.186735153198
75.262112167094	-27.673419952393
75.508873190593	-28.160768508911
75.755634214092	-28.658304214478
76.002395237590	-29.156490325928
76.249156261089	-29.664190292358
76.495917284588	-30.172492980957
76.742678308086	-30.689580917358
76.989439331585	-31.207206726074
77.236200355084	-31.732873916626
77.482961378582	-32.259014129639
77.729722402081	-32.792415618896
77.976483425580	-33.326225280762
78.223244449078	-33.866497039795
78.470005472577	-34.407115936279
78.716766496076	-34.953350067139
78.963527519574	-35.499855041504
79.210288543073	-36.051185607910
79.457049566572	-36.602710723877
79.703810590070	-37.158229827881
79.950571613569	-37.713897705078
80.197332637068	-38.272716522217
80.444093660566	-38.831630706787
80.690854684065	-39.392887115479
80.937615707564	-39.954196929932
81.184376731062	-40.517059326172
81.431137754561	-41.079940795898
81.677898778060	-41.643585205078
81.924659801558	-42.207210540771
82.171420825057	-42.770854949951
82.418181848556	-43.334484100342
82.664942872054	-43.897411346436
82.911703895553	-44.460300445557
83.158464919052	-45.021797180176
83.405225942550	-45.583232879639
83.651986966049	-46.142654418945
83.898747989548	-46.701995849609
84.145509013046	-47.258728027344
84.392270036545	-47.815372467041
84.639031060044	-48.368831634521
84.885792083542	-48.922191619873
85.132553107041	-49.471858978271
85.379314130540	-50.021400451660
85.626075154038	-50.566806793213
85.872836177537	-51.112064361572
86.119597201036	-51.652729034424
86.366358224534	-52.193241119385
86.613119248033	-52.728759765625
86.859880271532	-53.264129638672
87.106641295030	-53.794136047363
87.353402318529	-54.323993682861
87.600163342028	-54.848125457764
87.846924365526	-55.372112274170
88.093685389025	-55.890068054199
88.340446412524	-56.407886505127
88.587207436022	-56.919372558594
88.833968459521	-57.430763244629
89.080729483020	-57.935527801514
89.327490506518	-58.440208435059
89.574251530017	-58.938026428223
89.821012553516	-59.435768127441
90.067773577014	-59.926441192627
90.314534600513	-60.417041778564
90.561295624012	-60.900356292725
90.808056647510	-61.383613586426
91.054817671009	-61.859405517578
91.301578694508	-62.335159301758
91.548339718006	-62.803272247314
91.795100741505	-63.271347045898
92.041861765004	-63.731639862061
92.288622788502	-64.191886901855
92.535383812001	-64.644210815430
92.782144835500	-65.096496582031
93.028905858998	-65.540725708008
93.275666882497	-65.984939575195
